日期,累积收益率
2011-01-10,"['002035' '000703' '002081' '600406' '000581' '600259' '002304' '000049'
 '000789' '002013']"
2011-01-11,"['002035' '000703' '002081' '600406' '000581' '600259' '000049' '002304'
 '600252' '002106']"
2011-01-12,"['002035' '000703' '002081' '600259' '600406' '000581' '000049' '002304'
 '000789' '600252']"
2011-01-13,"['002035' '000703' '002081' '600406' '600259' '000581' '002304' '000049'
 '600252' '002236']"
2011-01-14,"['002035' '000703' '002081' '600406' '002304' '000581' '600259' '000049'
 '600252' '002236']"
2011-01-17,"['002035' '000703' '600406' '002304' '000581' '600259' '600252' '000049'
 '002236' '002106']"
2011-01-18,"['002035' '000703' '002081' '600406' '002304' '000581' '600259' '000049'
 '600252' '002236']"
2011-01-19,"['002035' '000703' '002081' '600406' '002304' '000581' '600259' '000049'
 '002236' '600252']"
2011-01-20,"['002035' '000703' '002081' '600406' '002304' '000581' '002236' '000596'
 '000049' '600259']"
2011-01-21,"['002035' '000703' '002081' '600406' '000581' '000049' '002236' '000596'
 '600259' '000789']"
2011-01-24,"['000703' '002081' '600406' '002304' '000581' '000789' '600259' '000049'
 '000596' '002236']"
2011-01-25,"['002035' '000703' '002081' '600406' '002304' '000789' '000581' '600259'
 '000049' '002236']"
2011-01-26,"['002035' '000703' '002081' '600406' '000789' '002304' '000581' '600259'
 '000049' '601002']"
2011-01-27,"['002035' '000703' '002081' '600406' '000581' '000789' '002304' '600259'
 '601002' '000049']"
2011-01-28,"['002035' '000703' '002081' '600406' '000789' '000581' '002304' '600259'
 '601002' '000049']"
2011-01-31,"['002035' '000703' '002081' '600406' '000789' '000581' '002304' '601002'
 '600259' '600252']"
2011-02-01,"['000703' '002035' '002081' '600406' '000789' '000581' '601002' '002304'
 '600259' '000049']"
2011-02-09,"['000703' '002035' '002081' '000789' '600406' '000581' '601002' '002304'
 '600259' '000049']"
2011-02-10,"['000703' '002035' '002081' '600406' '000581' '002304' '601002' '000049'
 '600259' '600252']"
2011-02-11,"['002035' '000703' '002081' '600406' '000581' '002304' '601002' '600259'
 '000049' '600160']"
2011-02-14,"['002035' '000703' '002081' '000581' '600406' '002304' '601002' '600259'
 '002236' '000049']"
2011-02-15,"['000703' '002035' '000581' '002081' '600406' '600259' '601002' '002304'
 '000049' '002236']"
2011-02-16,"['000703' '002035' '000789' '000581' '002081' '600406' '600259' '002304'
 '601002' '000049']"
2011-02-17,"['000703' '002035' '000789' '000581' '600406' '002081' '600259' '002304'
 '000049' '600160']"
2011-02-18,"['000703' '002035' '000789' '000581' '600406' '002081' '600259' '002304'
 '000049' '600160']"
2011-02-21,"['002035' '000703' '000789' '000581' '600406' '002081' '600259' '002304'
 '000049' '600160']"
2011-02-22,"['000703' '002035' '000789' '000581' '002081' '600406' '600259' '002304'
 '002006' '600160']"
2011-02-23,"['000703' '002035' '000789' '000581' '002081' '600259' '002304' '002006'
 '600160' '002129']"
2011-02-24,"['000703' '002035' '000789' '000581' '002081' '600406' '600259' '002304'
 '002006' '600160']"
2011-02-25,"['000703' '002035' '000789' '000581' '002081' '600406' '002304' '000049'
 '002006' '600160']"
2011-02-28,"['002035' '000703' '000789' '000581' '002081' '600406' '600259' '600160'
 '002304' '002006']"
2011-03-01,"['000789' '000703' '002035' '000581' '600406' '002081' '600259' '002304'
 '600160' '000049']"
2011-03-02,"['000703' '000789' '002035' '000581' '002081' '600406' '600259' '002304'
 '600160' '000049']"
2011-03-03,"['000703' '002035' '000789' '000581' '002081' '600406' '600259' '002304'
 '000049' '600160']"
2011-03-04,"['002035' '000703' '000789' '000581' '002081' '600406' '600259' '002304'
 '000049' '600160']"
2011-03-07,"['002035' '000703' '000789' '000581' '002081' '600406' '600259' '002304'
 '000049' '600160']"
2011-03-08,"['002035' '000703' '000789' '000581' '600259' '002081' '600406' '000049'
 '002304' '600160']"
2011-03-09,"['002035' '000703' '000789' '000581' '600406' '002081' '600259' '002304'
 '600160' '000049']"
